transaction_id,customer_id,timestamp,amount,transaction_type,country
TXN_100000,CUST_1042,2026-06-15 00:00:00,9693.8,CASH_DEPOSIT,US
TXN_100001,CUST_1042,2026-06-15 02:00:00,9415.08,CASH_DEPOSIT,US
TXN_100002,CUST_1042,2026-06-15 04:00:00,9619.71,CASH_DEPOSIT,CA
TXN_100003,CUST_1042,2026-06-15 06:00:00,9409.51,CASH_DEPOSIT,US
TXN_100004,CUST_1042,2026-06-15 08:00:00,9461.65,CASH_DEPOSIT,US
TXN_100005,CUST_1042,2026-06-15 10:00:00,9892.38,CASH_DEPOSIT,US
TXN_100006,CUST_1042,2026-06-15 12:00:00,9354.98,CASH_DEPOSIT,US
TXN_100007,CUST_1042,2026-06-15 14:00:00,9855.58,CASH_DEPOSIT,US
TXN_100008,CUST_1042,2026-06-15 16:00:00,9222.84,CASH_DEPOSIT,US
TXN_100009,CUST_1042,2026-06-15 18:00:00,9268.16,CASH_DEPOSIT,US
TXN_100010,CUST_1042,2026-06-15 20:00:00,9841.01,CASH_DEPOSIT,US
TXN_100011,CUST_1042,2026-06-15 22:00:00,9672.92,CASH_DEPOSIT,MX
TXN_100012,CUST_1094,2026-06-17 14:00:00,1277.5,PAYMENT,US
TXN_100013,CUST_1061,2026-06-09 20:00:00,2073.45,PAYMENT,US
TXN_100014,CUST_1023,2026-05-26 12:00:00,537.05,CASH_DEPOSIT,US
TXN_100015,CUST_1088,2026-05-07 08:00:00,763.5,PAYMENT,US
TXN_100016,CUST_1062,2026-05-11 18:00:00,1873.77,CASH_DEPOSIT,CA
TXN_100017,CUST_1004,2026-06-11 06:00:00,194.73,WIRE_TRANSFER,MX
TXN_100018,CUST_1071,2026-05-12 01:00:00,108.5,CASH_DEPOSIT,US
TXN_100019,CUST_1087,2026-06-06 02:00:00,1532.33,PAYMENT,MX
TXN_100020,CUST_1064,2026-06-04 04:00:00,1883.69,ATM_WITHDRAWAL,CA
TXN_100021,CUST_1089,2026-06-24 13:00:00,71.91,ATM_WITHDRAWAL,CA
TXN_100022,CUST_1089,2026-06-11 12:00:00,57.9,ATM_WITHDRAWAL,US
TXN_100023,CUST_1051,2026-06-01 03:00:00,235.07,WIRE_TRANSFER,US
TXN_100024,CUST_1014,2026-06-12 03:00:00,130.16,CASH_DEPOSIT,US
TXN_100025,CUST_1085,2026-05-28 01:00:00,2486.33,WIRE_TRANSFER,US
TXN_100026,CUST_1005,2026-05-28 11:00:00,818.09,PAYMENT,MX
TXN_100027,CUST_1091,2026-05-25 06:00:00,184.89,WIRE_TRANSFER,US
TXN_100028,CUST_1061,2026-06-26 19:00:00,2967.02,CASH_DEPOSIT,US
TXN_100029,CUST_1071,2026-05-27 08:00:00,386.75,WIRE_TRANSFER,US
TXN_100030,CUST_1043,2026-05-24 14:00:00,595.58,ATM_WITHDRAWAL,US
TXN_100031,CUST_1051,2026-06-18 16:00:00,4933.01,WIRE_TRANSFER,US
TXN_100032,CUST_1001,2026-05-03 16:00:00,512.87,CASH_DEPOSIT,US
TXN_100033,CUST_1001,2026-05-02 21:00:00,499.94,ATM_WITHDRAWAL,MX
TXN_100034,CUST_1018,2026-05-02 20:00:00,900.72,PAYMENT,US
TXN_100035,CUST_1067,2026-06-24 10:00:00,417.0,PAYMENT,CA
TXN_100036,CUST_1023,2026-05-05 19:00:00,1515.76,WIRE_TRANSFER,US
TXN_100037,CUST_1015,2026-06-02 08:00:00,1074.52,PAYMENT,US
TXN_100038,CUST_1002,2026-05-20 03:00:00,1872.77,ATM_WITHDRAWAL,CA
TXN_100039,CUST_1019,2026-06-01 06:00:00,4243.26,PAYMENT,US
TXN_100040,CUST_1038,2026-05-18 07:00:00,1699.08,CASH_DEPOSIT,CA
TXN_100041,CUST_1049,2026-05-23 09:00:00,399.23,ATM_WITHDRAWAL,US
TXN_100042,CUST_1059,2026-06-18 01:00:00,156.59,CASH_DEPOSIT,MX
TXN_100043,CUST_1036,2026-06-01 22:00:00,500.41,CASH_DEPOSIT,CA
TXN_100044,CUST_1079,2026-05-03 19:00:00,787.55,PAYMENT,MX
TXN_100045,CUST_1074,2026-06-18 07:00:00,3442.35,PAYMENT,US
TXN_100046,CUST_1098,2026-06-17 02:00:00,17.61,CASH_DEPOSIT,US
TXN_100047,CUST_1081,2026-05-02 21:00:00,1593.16,ATM_WITHDRAWAL,US
TXN_100048,CUST_1032,2026-05-04 00:00:00,600.45,WIRE_TRANSFER,CA
TXN_100049,CUST_1007,2026-05-07 02:00:00,562.39,CASH_DEPOSIT,US
TXN_100050,CUST_1058,2026-06-20 21:00:00,442.45,ATM_WITHDRAWAL,US
TXN_100051,CUST_1050,2026-06-23 07:00:00,864.79,ATM_WITHDRAWAL,US
TXN_100052,CUST_1096,2026-05-28 14:00:00,3004.5,PAYMENT,US
TXN_100053,CUST_1047,2026-05-19 03:00:00,2205.11,ATM_WITHDRAWAL,US
TXN_100054,CUST_1043,2026-05-28 13:00:00,3234.72,CASH_DEPOSIT,CA
TXN_100055,CUST_1036,2026-05-24 16:00:00,5111.26,WIRE_TRANSFER,CY
TXN_100056,CUST_1096,2026-06-21 20:00:00,2867.09,PAYMENT,US
TXN_100057,CUST_1017,2026-05-25 09:00:00,2798.9,ATM_WITHDRAWAL,CY
TXN_100058,CUST_1045,2026-05-24 17:00:00,1678.2,PAYMENT,US
TXN_100059,CUST_1026,2026-06-11 01:00:00,2035.05,WIRE_TRANSFER,US
TXN_100060,CUST_1042,2026-06-23 15:00:00,531.34,ATM_WITHDRAWAL,CA
TXN_100061,CUST_1098,2026-06-19 23:00:00,137.67,CASH_DEPOSIT,US
TXN_100062,CUST_1035,2026-06-14 19:00:00,120.37,CASH_DEPOSIT,US
TXN_100063,CUST_1013,2026-05-12 18:00:00,52.01,ATM_WITHDRAWAL,US
TXN_100064,CUST_1031,2026-05-23 21:00:00,949.91,ATM_WITHDRAWAL,US
